id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues,data_isses
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Family Support Center,101 Hazlett St,Pittsburgh,PA,15214,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Three Rivers Manor,125 Rhine Place,Pittsburgh,PA,15212,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at GAP Park,Grant Ave North Ave,Pittsburgh,PA,15209,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Sharpsburg Community Library,1212 Main St,Pittsburgh,PA,15215,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at UPMC Matild Theiss Health Center,373 Burrows St,Pittsburgh,PA,15213,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Thelma Lovette YMCA,2114 Centre Ave,Pittsburgh,PA,15219,NA,Upper Parking lot,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Woods Run Library,1201 Woods Run Ave,Pittsburgh,PA,15212,NA,CLP,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at 5 Generations Bakery,1100 Chartiers Ave,McKees Rocks,PA,15136,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Sheraden Library,720 Sherwood Ave,Pittsburgh,PA,15204,NA,CLP,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Monview Heights,48 Midway Drive,West Mifflin,PA,15122,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Clock Tower,Brownsville Rd Hayes Ave,Pittsburgh,PA,15210,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Family Dollar Parking Lot,533 Miller Ave,Clairton,PA,15025,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Glassport Honor Roll Park,440 Monogahela Ave,Glassport,PA,15045,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at A Child's World Daycare Center,300 Rankin Blvd,Rankin,PA,15104,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Alma Illery Medical Center,7227 Hamilton Ave,Pittsburgh,PA,15208,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at East Hills Community Center,2291 Wilner Drive,Pittsburgh,PA,15221,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
NA,PFPC,GPCFB - Green Grocer.xlsx,NA,farmer's market,Green Grocer at Wilmerding Apartments Community Room,314 Commerce St,Wilmerding,PA,15148,NA,NA,NA,NA,NA,NA,Google,NA,NA,1,0,1,1,1,0,0,NA,no lat/long
